"sex"	"exposure"	"imd"	"Model"	"# Joinpoints"	"# Observations"	"# Parameters"	"D.F."	"SSE"	"BIC"	"BIC3"	"Weight"	"WBIC"
Men	Obese	3	3	2	19	6	13	       0.0706726	      -4.6643131	      -4.3543722	       0.2162669	      -4.5972831
Men	Obese	3	4	3	19	8	11	       0.0622926	      -4.4805878	      -4.0156764	       0.3526692	      -4.3166279
Men	Obese	4	1	0	19	2	17	       0.1187092	      -4.7655766	      -4.7655766	       0.0000000	      -4.7655766
Men	Obese	4	2	1	19	4	15	       0.1012709	      -4.6145130	      -4.4595426	       0.1468991	      -4.5917480
Men	Obese	4	3	2	19	6	13	       0.0661971	      -4.7297350	      -4.4197941	       0.7204151	      -4.5064489
Men	Obese	4	4	3	19	8	11	       0.0628573	      -4.4715629	      -4.0066515	       0.7204151	      -4.1366337
Men	Obese	5	1	0	19	2	17	       0.5523053	      -3.2281524	      -3.2281524	       0.0000000	      -3.2281524
Men	Obese	5	2	1	19	4	15	       0.1606122	      -4.1533196	      -3.9983491	       0.7091967	      -4.0434150
Men	Obese	5	3	2	19	6	13	       0.1591378	      -3.8526008	      -3.5426599	       0.6721778	      -3.6442654
Men	Obese	5	4	3	19	8	11	       0.1494018	      -3.6057910	      -3.1408796	       0.7104206	      -3.2755083
Men	Obese	All	1	0	4	2	2	       0.0018608	      -6.9798759	      -6.9798759	       0.0000000	      -6.9798759
Women	Obese	1	1	0	19	2	17	       0.3489721	      -3.6872613	      -3.6872613	       0.0000000	      -3.6872613
Women	Obese	1	2	1	19	4	15	       0.2053496	      -3.9075985	      -3.7526280	       0.4115587	      -3.8438191
Women	Obese	1	3	2	19	6	13	       0.1869218	      -3.6916810	      -3.3817400	       0.5774370	      -3.5127096
Women	Obese	1	4	3	19	8	11	       0.1785868	      -3.4273555	      -2.9624441	       0.5774370	      -3.1588985
Women	Obese	2	1	0	19	2	17	       0.1888218	      -4.3014497	      -4.3014497	       0.0000000	      -4.3014497
Women	Obese	2	2	1	19	4	15	       0.1255851	      -4.3993289	      -4.2443584	       0.3349015	      -4.3474290
Women	Obese	2	3	2	19	6	13	       0.0770114	      -4.5784185	      -4.2684776	       0.8491443	      -4.3152339
Women	Obese	2	4	3	19	8	11	       0.0676066	      -4.3987246	      -3.9338132	       0.8491443	      -4.0039477
Women	Obese	3	1	0	19	2	17	       0.0799532	      -5.1608117	      -5.1608117	       0.0000000	      -5.1608117
Women	Obese	3	2	1	19	4	15	       0.0707262	      -4.9734966	      -4.8185262	       0.1154055	      -4.9556122
Women	Obese	3	3	2	19	6	13	       0.0665449	      -4.7244947	      -4.4145538	       0.2011767	      -4.6621419
Women	Obese	3	4	3	19	8	11	       0.0636361	      -4.4592492	      -3.9943377	       0.2793755	      -4.3293643
Women	Obese	4	1	0	19	2	17	       0.0950579	      -4.9877671	      -4.9877671	       0.0000000	      -4.9877671
Women	Obese	4	2	1	19	4	15	       0.0868002	      -4.7687039	      -4.6137334	       0.0868707	      -4.7552415
Women	Obese	4	3	2	19	6	13	       0.0776072	      -4.5707118	      -4.2607708	       0.3412452	      -4.4649459
Women	Obese	4	4	3	19	8	11	       0.0692333	      -4.3749481	      -3.9100367	       0.3466845	      -4.2137705
Women	Obese	5	1	0	19	2	17	       0.4190690	      -3.5042177	      -3.5042177	       0.0000000	      -3.5042177
Women	Obese	5	2	1	19	4	15	       0.0935497	      -4.6938198	      -4.5388494	       0.7767679	      -4.5734437
Women	Obese	5	3	2	19	6	13	       0.0882889	      -4.4417570	      -4.1318161	       0.8321899	      -4.1838273
Women	Obese	5	4	3	19	8	11	       0.0774684	      -4.2625605	      -3.7976490	       0.8321899	      -3.8756659
Women	Obese	All	1	0	4	2	2	       0.0011660	      -7.4473563	      -7.4473563	       0.0000000	      -7.4473563
Men	Overweight	1	1	0	19	2	17	       0.1630322	      -4.4483053	      -4.4483053	       0.0000000	      -4.4483053
Men	Overweight	1	2	1	19	4	15	       0.0782557	      -4.8723304	      -4.7173599	       0.5199985	      -4.7917460
Men	Overweight	1	3	2	19	6	13	       0.0749942	      -4.6049601	      -4.2950192	       0.5382024	      -4.4381492
Men	Overweight	1	4	3	19	8	11	       0.0577432	      -4.5564246	      -4.0915132	       0.5584208	      -4.2968084
Men	Overweight	2	1	0	19	2	17	       0.2387947	      -4.0666491	      -4.0666491	       0.0000000	      -4.0666491
Men	Overweight	2	2	1	19	4	15	       0.0838204	      -4.8036358	      -4.6486653	       0.6489854	      -4.7030622
Men	Overweight	2	3	2	19	6	13	       0.0781388	      -4.5638847	      -4.2539438	       0.9418076	      -4.2719800
Men	Overweight	2	4	3	19	8	11	       0.0668275	      -4.4103154	      -3.9454040	       0.9418076	      -3.9724583
Men	Overweight	3	1	0	19	2	17	       0.0635629	      -5.3902237	      -5.3902237	       0.0000000	      -5.3902237
Men	Overweight	3	2	1	19	4	15	       0.0534281	      -5.2539765	      -5.0990060	       0.1594457	      -5.2292671
Men	Overweight	3	3	2	19	6	13	       0.0449895	      -5.1159420	      -4.8060010	       0.6432558	      -4.9165706
Men	Overweight	3	4	3	19	8	11	       0.0442661	      -4.8222118	      -4.3573004	       0.5051545	      -4.5873597
Men	Overweight	4	1	0	19	2	17	       0.1276905	      -4.6926436	      -4.6926436	       0.0000000	      -4.6926436
Men	Overweight	4	2	1	19	4	15	       0.0456357	      -5.4116228	      -5.2566523	       0.6426073	      -5.3120376
Men	Overweight	4	3	2	19	6	13	       0.0305109	      -5.5042880	      -5.1943470	       0.6056226	      -5.3165808
Men	Overweight	4	4	3	19	8	11	       0.0282483	      -5.2713977	      -4.8064863	       0.4129416	      -5.0794165
Men	Overweight	5	1	0	19	2	17	       0.6081653	      -3.1318066	      -3.1318066	       0.0000000	      -3.1318066
Men	Overweight	5	2	1	19	4	15	       0.1465554	      -4.2449087	      -4.0899382	       0.7590204	      -4.1272829
Men	Overweight	5	3	2	19	6	13	       0.1403479	      -3.9782473	      -3.6683063	       0.7847288	      -3.7350277
Men	Overweight	5	4	3	19	8	11	       0.1356590	      -3.7022858	      -3.2373744	       0.7981246	      -3.3312286
Men	Overweight	All	1	0	4	2	2	       0.0004631	      -8.3707623	      -8.3707623	       0.0000000	      -8.3707623
Women	Overweight	1	1	0	19	2	17	       0.2258769	      -4.1222633	      -4.1222633	       0.0000000	      -4.1222633
Women	Overweight	1	2	1	19	4	15	       0.0760462	      -4.9009719	      -4.7460014	       0.6633291	      -4.7981754
Women	Overweight	1	3	2	19	6	13	       0.0530640	      -4.9508733	      -4.6409323	       0.6308372	      -4.7553510
Women	Overweight	1	4	3	19	8	11	       0.0417061	      -4.8817830	      -4.4168716	       0.8824311	      -4.4715307
Women	Overweight	2	1	0	19	2	17	       0.2859368	      -3.8864825	      -3.8864825	       0.0000000	      -3.8864825
Women	Overweight	2	2	1	19	4	15	       0.0930449	      -4.6992298	      -4.5442593	       0.6745961	      -4.5946873
Women	Overweight	2	3	2	19	6	13	       0.0514467	      -4.9818249	      -4.6718839	       0.9856885	      -4.6763197
Women	Overweight	2	4	3	19	8	11	       0.0461826	      -4.7798275	      -4.3149160	       0.9856885	      -4.3215696
Women	Overweight	3	1	0	19	2	17	       0.0683108	      -5.3181854	      -5.3181854	       0.0000000	      -5.3181854
Women	Overweight	3	2	1	19	4	15	       0.0544376	      -5.2352565	      -5.0802860	       0.2030888	      -5.2037837
Women	Overweight	3	3	2	19	6	13	       0.0432582	      -5.1551835	      -4.8452426	       0.5012741	      -4.9998182
Women	Overweight	3	4	3	19	8	11	       0.0352883	      -5.0488801	      -4.5839687	       0.6783161	      -4.7335232
Women	Overweight	4	1	0	19	2	17	       0.0957732	      -4.9802704	      -4.9802704	       0.0000000	      -4.9802704
Women	Overweight	4	2	1	19	4	15	       0.0696454	      -4.9888953	      -4.8339248	       0.2728088	      -4.9466180
Women	Overweight	4	3	2	19	6	13	       0.0626806	      -4.7843197	      -4.4743788	       0.1915437	      -4.7249525
Women	Overweight	4	4	3	19	8	11	       0.0410730	      -4.8970803	      -4.4321689	       0.6672031	      -4.5868900
Women	Overweight	5	1	0	19	2	17	       0.4646703	      -3.4009251	      -3.4009251	       0.0000000	      -3.4009251
Women	Overweight	5	2	1	19	4	15	       0.1307530	      -4.3590026	      -4.2040321	       0.7186113	      -4.2476390
Women	Overweight	5	3	2	19	6	13	       0.1225807	      -4.1136019	      -3.8036610	       0.4591554	      -3.9712909
Women	Overweight	5	4	3	19	8	11	       0.1018000	      -3.9894202	      -3.5245088	       0.6939846	      -3.6667788
Women	Overweight	All	1	0	4	2	2	       0.0003122	      -8.7651442	      -8.7651442	       0.0000000	      -8.7651442
Men	PhysicalActivity	1	1	0	5	2	3	       0.0295814	      -4.4862737	      -4.4862737	       0.0000000	      -4.4862737
Men	PhysicalActivity	2	1	0	5	2	3	       0.0192777	      -4.9144691	      -4.9144691	       0.0000000	      -4.9144691
Men	PhysicalActivity	3	1	0	5	2	3	       0.0212573	      -4.8167154	      -4.8167154	       0.0000000	      -4.8167154
Men	PhysicalActivity	4	1	0	5	2	3	       0.0078267	      -5.8158753	      -5.8158753	       0.0000000	      -5.8158753
Men	PhysicalActivity	5	1	0	5	2	3	       0.0062511	      -6.0406587	      -6.0406587	       0.0000000	      -6.0406587
Women	PhysicalActivity	1	1	0	5	2	3	       0.0195550	      -4.9001876	      -4.9001876	       0.0000000	      -4.9001876
Women	PhysicalActivity	2	1	0	5	2	3	       0.0099320	      -5.5776556	      -5.5776556	       0.0000000	      -5.5776556
Women	PhysicalActivity	3	1	0	5	2	3	       0.0088199	      -5.6964130	      -5.6964130	       0.0000000	      -5.6964130
Women	PhysicalActivity	4	1	0	5	2	3	       0.0095558	      -5.6162713	      -5.6162713	       0.0000000	      -5.6162713
Women	PhysicalActivity	5	1	0	5	2	3	       0.0024315	      -6.9849102	      -6.9849102	       0.0000000	      -6.9849102
Men	Previously	1	1	0	19	2	17	       0.1483618	      -4.5425995	      -4.5425995	       0.0000000	      -4.5425995
Men	Previously	1	2	1	19	4	15	       0.0872578	      -4.7634453	      -4.6084748	       0.4118579	      -4.6996195
Men	Previously	1	3	2	19	6	13	       0.0704111	      -4.6680209	      -4.3580799	       0.6126110	      -4.4781476
Men	Previously	1	4	3	19	8	11	       0.0636346	      -4.4592737	      -3.9943623	       0.6126110	      -4.1744639
Men	Previously	2	1	0	19	2	17	       0.1706030	      -4.4029142	      -4.4029142	       0.0000000	      -4.4029142
Men	Previously	2	2	1	19	4	15	       0.0863667	      -4.7737101	      -4.6187397	       0.4937562	      -4.6971925
Men	Previously	2	3	2	19	6	13	       0.0849079	      -4.4808040	      -4.1708631	       0.7651675	      -4.2436473
Men	Previously	2	4	3	19	8	11	       0.0776449	      -4.2602846	      -3.7953732	       0.4526114	      -4.0498604
Men	Previously	3	1	0	19	2	17	       0.0973204	      -4.9642446	      -4.9642446	       0.0000000	      -4.9642446
Men	Previously	3	2	1	19	4	15	       0.0722787	      -4.9517825	      -4.7968121	       0.2573118	      -4.9119068
Men	Previously	3	3	2	19	6	13	       0.0687454	      -4.6919610	      -4.3820201	       0.3208080	      -4.5925295
Men	Previously	3	4	3	19	8	11	       0.0578232	      -4.5550396	      -4.0901282	       0.3812979	      -4.3777698
Men	Previously	4	1	0	19	2	17	       0.0934474	      -5.0048543	      -5.0048543	       0.0000000	      -5.0048543
Men	Previously	4	2	1	19	4	15	       0.0673403	      -5.0225540	      -4.8675836	       0.2793781	      -4.9792587
Men	Previously	4	3	2	19	6	13	       0.0581798	      -4.8588338	      -4.5488928	       0.2401747	      -4.7843938
Men	Previously	4	4	3	19	8	11	       0.0531129	      -4.6400114	      -4.1751000	       0.5947566	      -4.3635022
Men	Previously	5	1	0	19	2	17	       0.9079367	      -2.7310786	      -2.7310786	       0.0000000	      -2.7310786
Men	Previously	5	2	1	19	4	15	       0.1498961	      -4.2223702	      -4.0673997	       0.8349047	      -4.0929846
Men	Previously	5	3	2	19	6	13	       0.1391175	      -3.9870528	      -3.6771118	       0.8334306	      -3.7287385
Men	Previously	5	4	3	19	8	11	       0.1317250	      -3.7317140	      -3.2668026	       0.8578920	      -3.3328702
Men	Previously	All	1	0	6	2	4	       0.0011943	      -7.9247347	      -7.9247347	       0.0000000	      -7.9247347
Women	Previously	1	1	0	19	2	17	       0.2217504	      -4.1407008	      -4.1407008	       0.0000000	      -4.1407008
Women	Previously	1	2	1	19	4	15	       0.1231598	      -4.4188295	      -4.2638590	       0.4446016	      -4.3499294
Women	Previously	1	3	2	19	6	13	       0.1033051	      -4.2846849	      -3.9747439	       0.3391576	      -4.1795661
Women	Previously	1	4	3	19	8	11	       0.1019251	      -3.9881927	      -3.5232813	       0.2525667	      -3.8707716
Women	Previously	2	1	0	19	2	17	       0.2012874	      -4.2375194	      -4.2375194	       0.0000000	      -4.2375194
Women	Previously	2	2	1	19	4	15	       0.0944940	      -4.6837757	      -4.5288052	       0.5305518	      -4.6015558
Women	Previously	2	3	2	19	6	13	       0.0864615	      -4.4626722	      -4.1527312	       0.5420122	      -4.2946804
Women	Previously	2	4	3	19	8	11	       0.0786520	      -4.2473977	      -3.7824863	       0.6915986	      -3.9258656
Women	Previously	3	1	0	19	2	17	       0.1009634	      -4.9274949	      -4.9274949	       0.0000000	      -4.9274949
Women	Previously	3	2	1	19	4	15	       0.0574187	      -5.1819429	      -5.0269724	       0.4312925	      -5.1151053
Women	Previously	3	3	2	19	6	13	       0.0521946	      -4.9673914	      -4.6574505	       0.5854936	      -4.7859230
Women	Previously	3	4	3	19	8	11	       0.0401397	      -4.9200643	      -4.4551529	       0.5854936	      -4.6478616
Women	Previously	4	1	0	19	2	17	       0.1983765	      -4.2520867	      -4.2520867	       0.0000000	      -4.2520867
Women	Previously	4	2	1	19	4	15	       0.1827301	      -4.0243024	      -3.8693319	       0.0788724	      -4.0120795
Women	Previously	4	3	2	19	6	13	       0.1743405	      -3.7613613	      -3.4514204	       0.1583297	      -3.7122885
Women	Previously	4	4	3	19	8	11	       0.1664700	      -3.4976152	      -3.0327038	       0.3815711	      -3.3202184
Women	Previously	5	1	0	19	2	17	       0.5925929	      -3.1577456	      -3.1577456	       0.0000000	      -3.1577456
Women	Previously	5	2	1	19	4	15	       0.1534915	      -4.1986675	      -4.0436970	       0.7409833	      -4.0838370
Women	Previously	5	3	2	19	6	13	       0.1410134	      -3.9735168	      -3.6635759	       0.8053953	      -3.7238919
Women	Previously	5	4	3	19	8	11	       0.1132290	      -3.8830180	      -3.4181065	       0.8410635	      -3.4919980
Women	Previously	All	1	0	6	2	4	       0.0050808	      -6.4767997	      -6.4767997	       0.0000000	      -6.4767997
Men	Underweight	1	1	0	19	2	17	       5.4712865	      -0.9349843	      -0.9349843	       0.0000000	      -0.9349843
Men	Underweight	1	2	1	19	4	15	       5.0734649	      -0.7005331	      -0.5455626	       0.0727108	      -0.6892651
Men	Underweight	1	3	2	19	6	13	       3.2254761	      -0.8435356	      -0.5335946	       0.5842191	      -0.6624622
Men	Underweight	1	4	3	19	8	11	       2.7753186	      -0.6839096	      -0.2189982	       0.9161478	      -0.2579820
Men	Underweight	2	1	0	18	2	16	       5.1582786	      -0.9286164	      -0.9286164	       0.0000000	      -0.9286164
Men	Underweight	2	2	1	18	4	14	       4.7353036	      -0.6930211	      -0.5324449	       0.0819993	      -0.6798539
Men	Underweight	2	3	2	18	6	12	       3.1568080	      -0.7773531	      -0.4562007	       0.9439541	      -0.4742000
Men	Underweight	2	4	3	18	8	10	       2.5029304	      -0.6882999	      -0.2065713	       0.9439541	      -0.2335701
Men	Underweight	3	1	0	19	2	17	       6.8737323	      -0.7067908	      -0.7067908	       0.0000000	      -0.7067908
Men	Underweight	3	2	1	19	4	15	       6.1448760	      -0.5089385	      -0.3539681	       0.1060350	      -0.4925062
Men	Underweight	3	3	2	19	6	13	       4.9650323	      -0.4121963	      -0.1022554	       0.8107555	      -0.1609100
Men	Underweight	3	4	3	19	8	11	       3.8854982	      -0.3474240	       0.1174874	       0.8107555	       0.0295055
Men	Underweight	4	1	0	19	2	17	       2.9980003	      -1.5365525	      -1.5365525	       0.0000000	      -1.5365525
Men	Underweight	4	2	1	19	4	15	       2.7434380	      -1.3153452	      -1.1603747	       0.0849107	      -1.3021865
Men	Underweight	4	3	2	19	6	13	       1.6076415	      -1.5398479	      -1.2299070	       0.5727711	      -1.3623227
Men	Underweight	4	4	3	19	8	11	       0.9760132	      -1.7289544	      -1.2640429	       0.9316971	      -1.2957977
Men	Underweight	5	1	0	19	2	17	       2.6728436	      -1.6513551	      -1.6513551	       0.0000000	      -1.6513551
Men	Underweight	5	2	1	19	4	15	       2.3659976	      -1.4633573	      -1.3083868	       0.1148013	      -1.4455665
Men	Underweight	5	3	2	19	6	13	       1.1674631	      -1.8597830	      -1.5498421	       0.8757478	      -1.5883529
Men	Underweight	5	4	3	19	8	11	       1.1116868	      -1.5987967	      -1.1338852	       0.8757478	      -1.1916515
Men	Underweight	All	1	0	4	2	2	       0.0837770	      -3.1727441	      -3.1727441	       0.0000000	      -3.1727441
Women	Underweight	1	1	0	19	2	17	       3.4239973	      -1.4036894	      -1.4036894	       0.0000000	      -1.4036894
Women	Underweight	1	2	1	19	4	15	       3.0411684	      -1.2123153	      -1.0573448	       0.1118076	      -1.1949884
Women	Underweight	1	3	2	19	6	13	       2.9058517	      -0.9478896	      -0.6379487	       0.3222079	      -0.8480242
Women	Underweight	1	4	3	19	8	11	       2.7503196	      -0.6929581	      -0.2280466	       0.4215132	      -0.4969917
Women	Underweight	2	1	0	19	2	17	       1.8578835	      -2.0150601	      -2.0150601	       0.0000000	      -2.0150601
Women	Underweight	2	2	1	19	4	15	       1.5529833	      -1.8843793	      -1.7294088	       0.1641116	      -1.8589469
Women	Underweight	2	3	2	19	6	13	       1.4088083	      -1.6718720	      -1.3619310	       0.5691924	      -1.4954559
Women	Underweight	2	4	3	19	8	11	       1.2453774	      -1.4852366	      -1.0203252	       0.6016442	      -1.2055253
Women	Underweight	3	1	0	19	2	17	       1.3427767	      -2.3397584	      -2.3397584	       0.0000000	      -2.3397584
Women	Underweight	3	2	1	19	4	15	       1.2384415	      -2.1107034	      -1.9557329	       0.0777011	      -2.0986620
Women	Underweight	3	3	2	19	6	13	       0.9841933	      -2.0305491	      -1.7206081	       0.4847730	      -1.8802981
Women	Underweight	3	4	3	19	8	11	       0.9452357	      -1.7609961	      -1.2960847	       0.4847730	      -1.5356196
Women	Underweight	4	1	0	19	2	17	       3.2969275	      -1.4415071	      -1.4415071	       0.0000000	      -1.4415071
Women	Underweight	4	2	1	19	4	15	       3.1062296	      -1.1911474	      -1.0361770	       0.0578411	      -1.1821838
Women	Underweight	4	3	2	19	6	13	       2.9866734	      -0.9204560	      -0.6105150	       0.4557579	      -0.7791979
Women	Underweight	4	4	3	19	8	11	       2.8517946	      -0.6567267	      -0.1918153	       0.2575901	      -0.5369701
Women	Underweight	5	1	0	19	2	17	       0.8450218	      -2.8028909	      -2.8028909	       0.0000000	      -2.8028909
Women	Underweight	5	2	1	19	4	15	       0.8205927	      -2.5222855	      -2.3673151	       0.0289095	      -2.5178054
Women	Underweight	5	3	2	19	6	13	       0.6674443	      -2.4189154	      -2.1089745	       0.3580281	      -2.3079479
Women	Underweight	5	4	3	19	8	11	       0.5840497	      -2.2424444	      -1.7775330	       0.4554605	      -2.0306957
Women	Underweight	All	1	0	4	2	2	       0.0200610	      -4.6021250	      -4.6021250	       0.0000000	      -4.6021250
